gender,race,parental level of education,lunch quality,test preparation course,math score,reading score,writing score,total score,average score,grade,performance level,best subject,gender encoded,lunch quality encoded
female,Americans,bachelor's degree,high,none,72,72,74,218,72.66666666666667,A,excellent,writing,0,0
female,Europeans,some college,high,completed,69,90,88,247,82.33333333333333,A,excellent,reading,0,0
female,Americans,master's degree,high,none,90,95,93,278,92.66666666666667,A,excellent,reading,0,0
male,Asians,associate's degree,poor,none,47,57,44,148,49.333333333333336,D,fair,reading,1,1
male,Europeans,some college,high,none,76,78,75,229,76.33333333333333,A,excellent,reading,1,0
female,Americans,associate's degree,high,none,71,83,78,232,77.33333333333333,A,excellent,reading,0,0
female,Americans,some college,high,completed,88,95,92,275,91.66666666666667,A,excellent,reading,0,0
male,Americans,some college,poor,none,40,43,39,122,40.666666666666664,E,pass,reading,1,1
male,Africans,high school,poor,completed,64,64,67,195,65.0,B,v. good,writing,1,1
female,Americans,high school,poor,none,38,60,50,148,49.333333333333336,D,fair,reading,0,1
male,Europeans,associate's degree,high,none,58,54,52,164,54.666666666666664,C,good,math,1,0
male,Africans,associate's degree,high,none,40,52,43,135,45.0,D,fair,reading,1,0
female,Americans,high school,high,none,65,81,73,219,73.0,A,excellent,reading,0,0
male,Asians,some college,high,completed,78,72,70,220,73.33333333333333,A,excellent,math,1,0
female,Asians,master's degree,high,none,50,53,58,161,53.666666666666664,C,good,writing,0,0
female,Europeans,some high school,high,none,69,75,78,222,74.0,A,excellent,writing,0,0
male,Europeans,high school,high,none,88,89,86,263,87.66666666666667,A,excellent,reading,1,0
female,Americans,some high school,poor,none,18,32,28,78,26.0,F,weak,reading,0,1
male,Europeans,master's degree,poor,completed,46,42,46,134,44.666666666666664,E,pass,math,1,1
female,Europeans,associate's degree,poor,none,54,58,61,173,57.666666666666664,C,good,writing,0,1
male,Africans,high school,high,none,66,69,63,198,66.0,B,v. good,reading,1,0
female,Americans,some college,poor,completed,65,75,70,210,70.0,A,excellent,reading,0,1
male,Africans,some college,high,none,44,54,53,151,50.333333333333336,C,good,reading,1,0
female,Europeans,some high school,high,none,69,73,73,215,71.66666666666667,A,excellent,reading,0,0
male,Africans,bachelor's degree,poor,completed,74,71,80,225,75.0,A,excellent,writing,1,1
male,Asians,master's degree,poor,none,73,74,72,219,73.0,A,excellent,reading,1,1
male,Americans,some college,high,none,69,54,55,178,59.333333333333336,C,good,math,1,0
female,Europeans,bachelor's degree,high,none,67,69,75,211,70.33333333333333,A,excellent,writing,0,0
male,Europeans,high school,high,none,70,70,65,205,68.33333333333333,B,v. good,math,1,0
female,Africans,master's degree,high,none,62,70,75,207,69.0,B,v. good,writing,0,0
female,Africans,some college,high,none,69,74,74,217,72.33333333333333,A,excellent,reading,0,0
female,Americans,some college,high,none,63,65,61,189,63.0,B,v. good,reading,0,0
female,Arabians,master's degree,poor,none,56,72,65,193,64.33333333333333,B,v. good,reading,0,1
male,Africans,some college,high,none,40,42,38,120,40.0,E,pass,reading,1,0
male,Arabians,some college,high,none,97,87,82,266,88.66666666666667,A,excellent,math,1,0
male,Arabians,associate's degree,high,completed,81,81,79,241,80.33333333333333,A,excellent,math,1,0
female,Africans,associate's degree,high,none,74,81,83,238,79.33333333333333,A,excellent,writing,0,0
female,Africans,some high school,poor,none,50,64,59,173,57.666666666666664,C,good,reading,0,1
female,Africans,associate's degree,poor,completed,75,90,88,253,84.33333333333333,A,excellent,reading,0,1
male,Americans,associate's degree,poor,none,57,56,57,170,56.666666666666664,C,good,math,1,1
male,Europeans,associate's degree,poor,none,55,61,54,170,56.666666666666664,C,good,reading,1,1
female,Europeans,associate's degree,high,none,58,73,68,199,66.33333333333333,B,v. good,reading,0,0
female,Americans,associate's degree,high,none,53,58,65,176,58.666666666666664,C,good,writing,0,0
male,Americans,some college,poor,completed,59,65,66,190,63.333333333333336,B,v. good,writing,1,1
female,Arabians,associate's degree,poor,none,50,56,54,160,53.333333333333336,C,good,reading,0,1
male,Americans,associate's degree,high,none,65,54,57,176,58.666666666666664,C,good,math,1,0
female,Asians,associate's degree,high,completed,55,65,62,182,60.666666666666664,B,v. good,reading,0,0
female,Europeans,high school,high,none,66,71,76,213,71.0,A,excellent,writing,0,0
female,Africans,associate's degree,poor,completed,57,74,76,207,69.0,B,v. good,writing,0,1
male,Europeans,high school,high,completed,82,84,82,248,82.66666666666667,A,excellent,reading,1,0
male,Arabians,some college,high,none,53,55,48,156,52.0,C,good,reading,1,0
male,Arabians,associate's degree,poor,completed,77,69,68,214,71.33333333333333,A,excellent,math,1,1
male,Europeans,some college,high,none,53,44,42,139,46.333333333333336,D,fair,math,1,0
male,Africans,high school,high,none,88,78,75,241,80.33333333333333,A,excellent,math,1,0
female,Europeans,some high school,poor,completed,71,84,87,242,80.66666666666667,A,excellent,writing,0,1
female,Europeans,high school,poor,none,33,41,43,117,39.0,F,weak,writing,0,1
female,Arabians,associate's degree,high,completed,82,85,86,253,84.33333333333333,A,excellent,writing,0,0
male,Africans,associate's degree,high,none,52,55,49,156,52.0,C,good,reading,1,0
male,Africans,some college,high,completed,58,59,58,175,58.333333333333336,C,good,reading,1,0
female,Europeans,some high school,poor,none,0,17,10,27,9.0,F,weak,reading,0,1
male,Arabians,bachelor's degree,poor,completed,79,74,72,225,75.0,A,excellent,math,1,1
male,Asians,some high school,poor,none,39,39,34,112,37.333333333333336,F,weak,math,1,1
male,Asians,associate's degree,poor,none,62,61,55,178,59.333333333333336,C,good,math,1,1
female,Europeans,associate's degree,high,none,69,80,71,220,73.33333333333333,A,excellent,reading,0,0
female,Africans,some high school,high,none,59,58,59,176,58.666666666666664,C,good,math,0,0
male,Americans,some high school,high,none,67,64,61,192,64.0,B,v. good,math,1,0
male,Africans,some high school,poor,none,45,37,37,119,39.666666666666664,F,weak,math,1,1
female,Europeans,some college,high,none,60,72,74,206,68.66666666666667,B,v. good,writing,0,0
male,Americans,associate's degree,poor,none,61,58,56,175,58.333333333333336,C,good,math,1,1
female,Europeans,associate's degree,high,none,39,64,57,160,53.333333333333336,C,good,reading,0,0
female,Africans,some college,poor,completed,58,63,73,194,64.66666666666667,B,v. good,writing,0,1
male,Africans,some college,high,completed,63,55,63,181,60.333333333333336,B,v. good,math,1,0
female,Asians,associate's degree,poor,none,41,51,48,140,46.666666666666664,D,fair,reading,0,1
